state,Management,Year,Location,biomass.kgha,prod_yr_kgha,prod_yr_F0.2
Shifted,Fished,2005,Praslin NE Carbonate,346.7527448,105.6977626,97.80511948
Shifted,Fished,2008,Praslin NE Carbonate,137.4092283,61.22806896,59.54207718
Shifted,Fished,2011,Praslin NE Carbonate,77.63354343,54.55325659,54.13880467
Shifted,Fished,2014,Praslin NE Carbonate,86.24731733,58.52415734,56.33325617
Shifted,Fished,2017,Praslin NE Carbonate,163.5936888,46.74369534,45.33466438
Recovering,Protected,1994,Praslin NE Granite,403.390796,106.3544953,106.3544953
Recovering,Protected,2005,Praslin NE Granite,508.6404922,127.8671179,127.8671179
Recovering,Protected,2008,Praslin NE Granite,479.7681646,174.114117,174.114117
Recovering,Protected,2011,Praslin NE Granite,783.2727351,237.8827909,237.8827909
Recovering,Protected,2014,Praslin NE Granite,584.8667037,160.2510006,160.2510006
Recovering,Protected,2017,Praslin NE Granite,672.9061186,229.8706137,229.8706137
Recovering,Protected,1994,Praslin NE Patch,293.1378705,77.07659283,77.07659283
Recovering,Protected,2005,Praslin NE Patch,522.3096421,124.7573582,124.7573582
Recovering,Protected,2008,Praslin NE Patch,367.6697878,81.11093899,81.11093899
Recovering,Protected,2011,Praslin NE Patch,367.1960428,110.3892066,110.3892066
Recovering,Protected,2014,Praslin NE Patch,244.6797118,68.90887474,68.90887474
Recovering,Protected,2017,Praslin NE Patch,204.5917123,64.77098929,64.77098929
Shifted,Fished,1994,Praslin SW Carbonate,317.1317831,125.3841923,123.7074476
Shifted,Fished,2005,Praslin SW Carbonate,220.2317672,112.5112424,107.6954532
Shifted,Fished,2008,Praslin SW Carbonate,141.5434559,84.78896488,82.21522521
Shifted,Fished,2011,Praslin SW Carbonate,162.7008238,91.14450106,88.46077914
Shifted,Fished,2014,Praslin SW Carbonate,633.6529609,259.5596853,247.4162192
Shifted,Fished,2017,Praslin SW Carbonate,409.6938117,185.0367066,175.8800419
Recovering,Fished,1994,Praslin SW Granite,375.5422775,107.1744962,99.27667001
Recovering,Fished,2005,Praslin SW Granite,322.1595076,92.16703441,88.10614481
Recovering,Fished,2008,Praslin SW Granite,1047.770297,246.7249095,225.5158011
Recovering,Fished,2011,Praslin SW Granite,673.8008915,219.908497,206.6543454
Recovering,Fished,2014,Praslin SW Granite,740.4723297,262.0677257,244.7612182
Recovering,Fished,2017,Praslin SW Granite,916.6908736,334.1308805,315.9659796
Shifted,Fished,1994,Praslin SW Patch,248.0768969,102.5883809,99.04025695
Shifted,Fished,2005,Praslin SW Patch,151.3549271,63.25161754,61.72114819
Shifted,Fished,2008,Praslin SW Patch,505.7191045,171.0991506,163.9260234
Shifted,Fished,2011,Praslin SW Patch,544.235108,180.5159028,173.4121176
Shifted,Fished,2014,Praslin SW Patch,539.7644209,138.7434548,133.0841695
Shifted,Fished,2017,Praslin SW Patch,703.7999902,221.0917009,207.087148
Shifted,Protected,1994,Ste Anne Carbonate,741.9310051,202.8418895,202.8418895
Shifted,Protected,2005,Ste Anne Carbonate,508.3253504,139.8420799,139.8420799
Shifted,Protected,2008,Ste Anne Carbonate,215.9671663,105.919596,105.919596
Shifted,Protected,2011,Ste Anne Carbonate,215.7829858,117.0642203,117.0642203
Shifted,Protected,2014,Ste Anne Carbonate,437.9730151,190.0756333,190.0756333
Recovering,Protected,1994,Ste Anne Granite,442.167938,112.7618211,112.7618211
Recovering,Protected,2005,Ste Anne Granite,1088.777339,295.9927816,295.9927816
Recovering,Protected,2008,Ste Anne Granite,982.2879811,249.3059829,249.3059829
Recovering,Protected,2011,Ste Anne Granite,997.5843912,279.286725,279.286725
Recovering,Protected,2014,Ste Anne Granite,856.7982621,211.7517158,211.7517158
Recovering,Protected,2017,Ste Anne Granite,941.2791296,258.8390883,258.8390883
Recovering,Protected,1994,Ste Anne Patch,621.9632982,168.8905332,168.8905332
Recovering,Protected,2005,Ste Anne Patch,244.1462053,80.26794007,80.26794007
Recovering,Protected,2008,Ste Anne Patch,168.342315,87.33080263,87.33080263
Recovering,Protected,2011,Ste Anne Patch,522.350918,146.0005925,146.0005925
Recovering,Protected,2014,Ste Anne Patch,850.6478754,259.2195122,259.2195122
Recovering,Protected,2017,Ste Anne Patch,916.7387544,284.2975652,284.2975652
